DATE,1-Year Monthly Treasury Yield 
4/1/53,2.36
5/1/53,2.48
6/1/53,2.45
7/1/53,2.38
8/1/53,2.28
9/1/53,2.2
10/1/53,1.79
11/1/53,1.67
12/1/53,1.66
1/1/54,1.41
2/1/54,1.14
3/1/54,1.13
4/1/54,0.96
5/1/54,0.85
6/1/54,0.82
7/1/54,0.84
8/1/54,0.88
9/1/54,1.03
10/1/54,1.17
11/1/54,1.14
12/1/54,1.21
1/1/55,1.39
2/1/55,1.57
3/1/55,1.59
4/1/55,1.75
5/1/55,1.9
6/1/55,1.91
7/1/55,2.02
8/1/55,2.37
9/1/55,2.36
10/1/55,2.39
11/1/55,2.48
12/1/55,2.73
1/1/56,2.58
2/1/56,2.49
3/1/56,2.61
4/1/56,2.92
5/1/56,2.94
6/1/56,2.74
7/1/56,2.76
8/1/56,3.1
9/1/56,3.35
10/1/56,3.28
11/1/56,3.44
12/1/56,3.68
1/1/57,3.37
2/1/57,3.38
3/1/57,3.42
4/1/57,3.49
5/1/57,3.48
6/1/57,3.65
7/1/57,3.81
8/1/57,4.01
9/1/57,4.07
10/1/57,4.01
11/1/57,3.57
12/1/57,3.18
1/1/58,2.65
2/1/58,1.99
3/1/58,1.84
4/1/58,1.45
5/1/58,1.37
6/1/58,1.23
7/1/58,1.61
8/1/58,2.5
9/1/58,3.05
10/1/58,3.19
11/1/58,3.1
12/1/58,3.29
1/1/59,3.36
2/1/59,3.54
3/1/59,3.61
4/1/59,3.72
5/1/59,3.96
6/1/59,4.07
7/1/59,4.39
8/1/59,4.42
9/1/59,5
10/1/59,4.8
11/1/59,4.81
12/1/59,5.14
1/1/60,5.03
2/1/60,4.66
3/1/60,4.02
4/1/60,4.04
5/1/60,4.21
6/1/60,3.36
7/1/60,3.2
8/1/60,2.95
9/1/60,3.07
10/1/60,3.04
11/1/60,3.08
12/1/60,2.86
1/1/61,2.81
2/1/61,2.93
3/1/61,2.88
4/1/61,2.88
5/1/61,2.87
6/1/61,3.06
7/1/61,2.92
8/1/61,3.06
9/1/61,3.06
10/1/61,3.05
11/1/61,3.07
12/1/61,3.18
1/1/62,3.28
2/1/62,3.28
3/1/62,3.06
4/1/62,2.99
5/1/62,3.03
6/1/62,3.03
7/1/62,3.29
8/1/62,3.2
9/1/62,3.06
10/1/62,2.98
11/1/62,3
12/1/62,3.01
1/1/63,3.04
2/1/63,3.01
3/1/63,3.03
